_id,dc_toy_num,dc_img_url,dc_model_name,dc_bin_num,dc_series,dc_color,dc_year,dc_series_num,dc_collector_num,dc_favourite,dc_notes,dc_duplicate,createdBy,dc_date_added,dc_treasure_hunt,dc_damaged
560370a2d62d105a0c933512,DHR37,http://static.christanfergus.com/images/diecast/IMG_20151120_203637.jpg,Camaro Z28,5A,Muscle Mania,Blue,2016,6/10,,,,,PDigwodDLwByNXtBS,11/21/2015,,
560370a2d62d105a0c933513,CFH07,http://static.christanfergus.com/images/diecast/IMG_20151124_215800.jpg,BMW M4,2A,HW City - Street Power,Blue,2015,24/250,,,,,PDigwodDLwByNXtBS,11/24/2015,,
560370a2d62d105a0c9334ge,DHR12,http://static.christanfergus.com/images/diecast/IMG_20151120_203709.jpg,52 Hudson Hornet,5A,HW Flames,Red,2016,7/10,,,,,PDigwodDLwByNXtBS,11/21/2015,,
560370a2d62d105a0c9334gf,DHT30,http://static.christanfergus.com/images/diecast/IMG_20151124_215820.jpg,Super Volt,5A,HW Green Speed,Blue,2016,3/5,,,Target snowflake card ,,PDigwodDLwByNXtBS,11/24/2015,,
560370a2d62d105a0c9334gf,DHP17,http://static.christanfergus.com/images/diecast/IMG_20151120_203742.jpg,Custom '72 Chevy Luv,5A,HW Hot Trucks,Yellow,2016,8/10,,,,,PDigwodDLwByNXtBS,11/21/2015,,
560370a2d62d105a0c9334h0,CFK10,http://static.christanfergus.com/images/diecast/IMG_20151121_141406.jpg,Custom '12 Ford Mustang,4A,HW Workshop 2015 - HW Drift Race,White,2015,240/250,,,,,PDigwodDLwByNXtBS,11/21/2015,,
560370a2d62d105a0c9334h1,DHR48,http://static.christanfergus.com/images/diecast/IMG_20151121_141437.jpg,Lamborghini Urus,5A,HW Hot Trucks,Blue,2016,2/10,,,,,PDigwodDLwByNXtBS,11/21/2015,,
560370a2d62d105a0c9334h2,CFJ66,http://static.christanfergus.com/images/diecast/IMG_20151121_141515.jpg,Pedal Driver,4A,HW City 2015 - Surf Patrol,Turquoise,2015,74/250,,,,,PDigwodDLwByNXtBS,11/21/2015,,
560370a2d62d105a0c9334h3,CGB74,http://static.christanfergus.com/images/diecast/IMG_20151121_141542.jpg,Lotus Esprit S1,4A,007,White,2015,5/5,,,The Spy Who Loved Me,,PDigwodDLwByNXtBS,11/21/2015,,
560370a2d62d105a0c9334h4,CGB79,http://static.christanfergus.com/images/diecast/IMG_20151121_141603.jpg,Aston Martin 1963 DB5,4A,007,Silver,2015,4/5,,,Skyfall,,PDigwodDLwByNXtBS,11/21/2015,,
560370a2d62d105a0c9334h5,DHR19,http://static.christanfergus.com/images/diecast/IMG_20151122_145132.jpg,71 Dodge Challenger,5A,Then And Now,Blue,2016,4/10,,,,,PDigwodDLwByNXtBS,11/22/2015,,
560370a2d62d105a0c9334h6,DHR31,http://static.christanfergus.com/images/diecast/IMG_20151122_145112.jpg,Great Gatspeed ,5A,HW Showroom ,Yellow,2016,6/10,,,,,PDigwodDLwByNXtBS,11/22/2015,,
560370a2d62d105a0c9334h7,DHR09,http://static.christanfergus.com/images/diecast/IMG_20151122_145048.jpg,69 Dodge Coronet Superbee,5A,HW Flames,Green,2016,4/10,,,,,PDigwodDLwByNXtBS,11/22/2015,,
560370a2d62d105a0c9334h8,DHR06,http://static.christanfergus.com/images/diecast/IMG_20151124_215531.jpg,69 Dodge Charger,5A,HW Flames,Yellow,2016,1/10,,,,,PDigwodDLwByNXtBS,11/24/2015,,
560370a2d62d105a0c9334h9,DHR07,http://static.christanfergus.com/images/diecast/IMG_20151124_215557.jpg,67 Chevelle SS 396,5A,HW Flames,Green,2016,2/10,,,,,PDigwodDLwByNXtBS,11/24/2015,,
