dc_toy_num,dc_img_url,dc_model_name,dc_bin_num,dc_series,dc_color,dc_year,dc_series_num,dc_collector_num,dc_favourite,dc_notes,dc_duplicate,createdBy,dc_date_added
P2969,,AUSTIN MINI VAN,M1,CITY ACTION,RED,2009,13/13,,,,,PDigwodDLwByNXtBS,8/23/2015
R0454,,09 CATERHAM SUPERLIGHT R500,M1,SPORTS CARS,WHITE,2010,3/15/2015,,,,,PDigwodDLwByNXtBS,8/23/2015
R4951,,LOTUS EUROPA,M1,HERITAGE CLASSICS,YELLOW,2010,6/9/2015,,,,,PDigwodDLwByNXtBS,8/23/2015
R4954,,68 CITROEN DS,M1,HERITAGE CLASSICS,BLUE,2010,8/9/2015,,,,,PDigwodDLwByNXtBS,8/23/2015
R4964,,MORGAN AEROMAX,M1,SPORTS CARS,BLACK,2010,12/15/2015,,,,,PDigwodDLwByNXtBS,8/23/2015
R5006,,JUNGLE CRAWLER,M1,JUNGLE EXPLORERS,GREY,2010,3/6/2015,,,,,PDigwodDLwByNXtBS,8/23/2015
R5010,,VOLKSWAGEN T2 BUS,M1,OUTDOOR SPORTSMAN,CAMO,2010,6/10/2015,,,,,PDigwodDLwByNXtBS,8/23/2015
T1545,,67 VOLVO P1800S,M1,HERITAGE CLASSICS,TURQUOISE,2010,2/9/2015,,,,,PDigwodDLwByNXtBS,8/23/2015
W4797,,CATERHAM R500 SUPERLIGHT,M1,MBX NATIONAL PARK,BLACK,2012,1/10/2015,,,,,PDigwodDLwByNXtBS,8/23/2015
Y0501,,1966 DODGE A100 PICKUP,M1,MBX ADVENTURE CITY,GREEN,2013,11/120,,,,,PDigwodDLwByNXtBS,8/23/2015
