dc_toy_num,dc_img_url,dc_model_name,dc_bin_num,dc_series,dc_color,dc_year,dc_series_num,dc_collector_num,dc_favourite,dc_notes,dc_duplicate,createdBy,dc_date_added
T9825,http://static.christanfergus.com/images/diecast/DSC00956.JPG,LAMBORGHINI REVENTON,4A,NIGHTBURNERZ '11,YELLOW,2011,8/10/2015,,,,,PDigwodDLwByNXtBS,
T9849,http://static.christanfergus.com/images/diecast/DSC00958.JPG,AMC JAVELIN AMX,4A,FASTER THAN EVER '11,BROWN,2011,2/10/2015,,,,,PDigwodDLwByNXtBS,
V5224,http://static.christanfergus.com/images/diecast/DSC00960.JPG,AMC GREASED GREMLIN,4A,HW PERFORMANCE '11,BLACK,2011,7/10/2015,,TRUE,,,PDigwodDLwByNXtBS,
K7639,http://static.christanfergus.com/images/diecast/DSC00964.JPG,AUDACIOUS,1A,CODE CAR,BLACK,2007,4/24/2015,,,,,PDigwodDLwByNXtBS,
T9688,http://static.christanfergus.com/images/diecast/DSC00966.JPG,BACK TO THE FUTURE TIME MACHINE,4A,2011 NEW MODELS,GREY,2011,18/50,,TRUE,,,PDigwodDLwByNXtBS,
T9848,http://static.christanfergus.com/images/diecast/DSC00968.JPG,81 DELOREAN DMC-12,4A,FASTER THAN EVER,GREY,2011,1/10/2015,,,,,PDigwodDLwByNXtBS,
V5396,http://static.christanfergus.com/images/diecast/DSC00970.JPG,FORD GTX1,3A,FASTER THAN EVER '12,WHITE,2012,8/10/2015,,,,,PDigwodDLwByNXtBS,
T9942,http://static.christanfergus.com/images/diecast/DSC00972.JPG,66 CHEVY NOVA,4A,HW RACING '11,WHITE,2011,4/10/2015,,,,,PDigwodDLwByNXtBS,
V5502,http://static.christanfergus.com/images/diecast/DSC00974.JPG,CITROEN C4 RALLY,3A,THRILL RACERS - CITY STUNT '12,GREEN,2012,3/5/2015,,,,,PDigwodDLwByNXtBS,
T9672,http://static.christanfergus.com/images/diecast/DSC00976.JPG,72 FORD GRAN TURISMO SPORT,4A,2011 NEW MODELS,GREEN,2011,2/50,,,,,PDigwodDLwByNXtBS,
V5300,http://static.christanfergus.com/images/diecast/DSC00978.JPG,12 LAMBORGHINI AVENTADOR,3A,2012 NEW MODELS,ORANGE,2012,12/50,,,,,PDigwodDLwByNXtBS,
T9985,http://static.christanfergus.com/images/diecast/DSC00980.JPG,70 MONTE CARLO,4A,MUSCLE MANIA '11,BLUE,2011,6/10/2015,,,,,PDigwodDLwByNXtBS,
R0931,http://static.christanfergus.com/images/diecast/DSC00982.JPG,81 DELOREAN DMC-12,3A,2010 NEW MODELS,GOLD,2010,15/44,,TRUE,,,PDigwodDLwByNXtBS,
V5314,http://static.christanfergus.com/images/diecast/DSC00984.JPG,PORSCHE BOXSTER SPYDER,3A,2012 NEW MODELS,WHITE,2012,26/50,,,,,PDigwodDLwByNXtBS,
V5424,http://static.christanfergus.com/images/diecast/DSC00986.JPG,LAMBORGHINI REVENTON,3A,HW ALL STARS '12,RUST,2012,1/10/2015,,,,,PDigwodDLwByNXtBS,
V5319,http://static.christanfergus.com/images/diecast/DSC00988.JPG,MAZDA RX-7,3A,2012 NEW MODELS,BLACK,2012,31/50,,,,,PDigwodDLwByNXtBS,
V5513,http://static.christanfergus.com/images/diecast/DSC00992.JPG,68 EL CAMINO,3A,THRILL RACERS - BEACH '12,ORANGE,2012,4/5/2015,,,,,PDigwodDLwByNXtBS,
J8024,http://static.christanfergus.com/images/diecast/DSC00994.JPG,LOTUS PROJECT M250,1A,,GREEN,2006,,,,,,PDigwodDLwByNXtBS,
V9461,http://static.christanfergus.com/images/diecast/DSC00996.JPG,HONDA S2000,4A,2011 NEW MODELS,RED,2011,20/50,,,,,PDigwodDLwByNXtBS,
R7553,http://static.christanfergus.com/images/diecast/DSC00998.JPG,FERRARI 308 GTS,3A,ALL STARS '10,BLUE,2010,10/10/2015,,,,,PDigwodDLwByNXtBS,
CFL64,http://static.christanfergus.com/images/diecast/IMG_20150726_152027.jpg,12 FORD FIESTA,2A,HW OFF-ROAD 2015 - ROAD RALLY,GREEN,2015,,,,,,PDigwodDLwByNXtBS,
BDR42,http://static.christanfergus.com/images/diecast/IMG_20150627_203421.JPG,69 BOSS 302,3A,HOT WHEELS COOL CLASSICS,TURQUOISE,2014,21/30,,,,,PDigwodDLwByNXtBS,
CFH46,http://static.christanfergus.com/images/diecast/IMG_20150627_203449.JPG,CUSTOM '77 DODGE VAN,2A,HW CITY 2015 - HW PERFORMANCE,YELLOW,2015,10/10/2015,,TRUE,,,PDigwodDLwByNXtBS,
CFH87,http://static.christanfergus.com/images/diecast/IMG_20150627_203518.JPG,90 HONDA CIVIC EF,2A,HW WORKSHOP 2014 - NIGHT BURNERZ,BLACK,2015,2/10/2015,,,,,PDigwodDLwByNXtBS,
CFG99,http://static.christanfergus.com/images/diecast/IMG_20150627_203544.JPG,SRT VIPER GTS-R,2A,HW RACE 2015 - WORLD RACE,SILVER,2015,5/10/2015,,,,,PDigwodDLwByNXtBS,
CFH45,http://static.christanfergus.com/images/diecast/IMG_20150627_203609.JPG,BENTLEY CONTINENTAL SUPERSPORTS,2A,HW WORKSHOP 2015 - SPEED TEAM,MAROON,2015,2/5/2015,,,,,PDigwodDLwByNXtBS,
21319,http://static.christanfergus.com/images/diecast/IMG_20150629_203550.JPG,PIKES PEAK CELICA,1A,SUGAR RUSH SERIES 2,WHITE,1999,3/4/2015,971,,SWEET TARTS,,PDigwodDLwByNXtBS,
CFK80,http://static.christanfergus.com/images/diecast/IMG_20150630_CFH15.JPG,ASTON MARTIN VANTAGE GT3,2A,HW RACE 2015 - WORLD RACE,BLUE,2015,,,TRUE,,,PDigwodDLwByNXtBS,
CFG96,http://static.christanfergus.com/images/diecast/IMG_20150701_CFG96.JPG,GT HUNTER,2A,HW RACE 2015 - HW RACE TEAM,BLUE,2015,5/10/2015,,,,,PDigwodDLwByNXtBS,
CFG97,http://static.christanfergus.com/images/diecast/IMG_20150701_CFG97.JPG,WINNING FORMULA,2A,HW RACE 2015 - HW RACE TEAM,BLUE,2015,10/10/2015,,,,,PDigwodDLwByNXtBS,
CFH83,http://static.christanfergus.com/images/diecast/IMG_20150701_CFH83.JPG,FERRARI 599XX,2A,HW WORKSHOP 2015 - THRILL RACERS,GREY,2015,,,TRUE,,,PDigwodDLwByNXtBS,
CFJ75,http://static.christanfergus.com/images/diecast/IMG_20150701_CFJ75.JPG,70 CHEVY CHEVELLE,2A,HW WORKSHOP 2015 - SPEED TEAM,BURGANDY,2015,,,,,,PDigwodDLwByNXtBS,
CFK18,http://static.christanfergus.com/images/diecast/IMG_20150701_CFK18.JPG,THE HOMER,2A,HW CITY 2015 - TOONED,GREEN,2015,,,,,,PDigwodDLwByNXtBS,
CFK76,http://static.christanfergus.com/images/diecast/IMG_20150701_CFK76.JPG,RRROADSTER,2A,HW RACE 2015 - HW RACE TEAM,BLUE,2015,4/10/2015,,,,,PDigwodDLwByNXtBS,
CFK80,http://static.christanfergus.com/images/diecast/IMG_20150701_CFK80.JPG,PROTOTYPE H-24,2A,HW RACE 2015 - HW RACE TEAM,BLUE,2015,9/10/2015,,,,,PDigwodDLwByNXtBS,
CFL58,http://static.christanfergus.com/images/diecast/IMG_20150701_CFL58.JPG,DATSUN 240Z,2A,HW WORKSHOP 2015 - THEN AND NOW,WHITE,2015,,,,,,PDigwodDLwByNXtBS,
CFV00,http://static.christanfergus.com/images/diecast/IMG_20150701_CFV00.JPG,63 MUSTANG II CONCEPT,1A,HAPPY FATHER'S DAY,BLUE,2015,,,,,,PDigwodDLwByNXtBS,
CFV02,http://static.christanfergus.com/images/diecast/IMG_20150701_CFV02.JPG,CUSTOM'11 CAMARO,1A,HAPPY FATHER'S DAY,COPPER,2015,,,,,,PDigwodDLwByNXtBS,
CFV03,http://static.christanfergus.com/images/diecast/IMG_20150701_CFV03.JPG,POISON ARROW,1A,HAPPY FATHER'S DAY,PURPLE,2015,,,,,,PDigwodDLwByNXtBS,
CFV05,http://static.christanfergus.com/images/diecast/IMG_20150701_CFV05.JPG,CORVETTE C6,1A,HAPPY FATHER'S DAY,TURQUOISE,2015,,,,,,PDigwodDLwByNXtBS,
CFK21,http://static.christanfergus.com/images/diecast/IMG_20150706_211130.JPG,BATMOBILE (THE BRAVE AND THE BOLD),2A,HW CITY 2015 - BATMAN,BLACK,2015,3/5/2015,,,,,PDigwodDLwByNXtBS,
CFH01,http://static.christanfergus.com/images/diecast/IMG_20150706_211153.JPG,CORVETTE C7.R,2A,HW RACE 2015 - WORLD RACE,YELLOW,2015,10/10/2015,,TRUE,"#4 won Le Mans in 2015, #3 was out due to wreck",,PDigwodDLwByNXtBS,
BFD19,http://static.christanfergus.com/images/diecast/IMG_20150706_211211.JPG,FIG RIG,3A,HW RACE 2014 - HW RACE TEAM,BLUE,2014,,,,,,PDigwodDLwByNXtBS,
CFJ54,http://static.christanfergus.com/images/diecast/IMG_20150706_211228.JPG,THE VANSTER,2A,HW RACE 2015 - HW RACE TEAM,BLUE,2015,3/10/2015,,,,,PDigwodDLwByNXtBS,
CFJ61,http://static.christanfergus.com/images/diecast/IMG_20150707_215434.jpg,BMW E36 M3 RACE,2A,HW RACE 2015 - WORLD RACE,BLACK,2015,,,TRUE,,,PDigwodDLwByNXtBS,
CFJ17,http://static.christanfergus.com/images/diecast/IMG_20150707_215459.jpg,CUSTOM '12 FORD MUSTANG,2A,HW WORKSHOP 2015 - HW DRIFT RACE,FALKEN,2015,,,TRUE,Falken Tire livery,,PDigwodDLwByNXtBS,
CFL78,http://static.christanfergus.com/images/diecast/IMG_20150708_202248.jpg,PORSCHE 911 GT3 RS,2A,HW WORKSHOP 2015 - NIGHT BURNERZ,RED,2015,,,,,,PDigwodDLwByNXtBS,
